"","datum","x"
"1",2016-01-02,10
"2",2016-01-04,49
"3",2016-01-05,30
"4",2016-01-06,86
"5",2016-01-09,4
"6",2016-01-11,99
"7",2016-01-12,139
"8",2016-01-13,74
"9",2016-01-14,135
"10",2016-01-15,128
"11",2016-01-18,62
"12",2016-01-19,59
"13",2016-01-20,46
"14",2016-01-21,92
"15",2016-01-22,78
"16",2016-01-23,18
"17",2016-01-25,52
"18",2016-01-26,102
"19",2016-01-27,79
"20",2016-01-28,109
"21",2016-01-29,97
"22",2016-01-30,31
"23",2016-02-01,67
"24",2016-02-02,95
"25",2016-02-03,25
"26",2016-02-04,45
"27",2016-02-05,85
"28",2016-02-08,79
"29",2016-02-09,84
"30",2016-02-10,35
"31",2016-02-11,67
"32",2016-02-12,81
"33",2016-02-15,7
"34",2016-02-16,8
"35",2016-02-17,60
"36",2016-02-18,25
"37",2016-02-19,27
"38",2016-02-22,36
"39",2016-02-23,36
"40",2016-02-24,62
"41",2016-02-25,41
"42",2016-02-26,36
"43",2016-02-27,9
"44",2016-02-29,16
"45",2016-03-01,45
"46",2016-03-02,62
"47",2016-03-03,32
"48",2016-03-04,58
"49",2016-03-07,50
"50",2016-03-08,40
"51",2016-03-09,161
"52",2016-03-10,43
"53",2016-03-11,13
"54",2016-03-14,84
"55",2016-03-15,40
"56",2016-03-16,39
"57",2016-03-17,36
"58",2016-03-18,69
"59",2016-03-21,61
"60",2016-03-22,31
"61",2016-03-23,33
"62",2016-03-24,34
"63",2016-03-25,94
"64",2016-03-28,134
"65",2016-03-29,79
"66",2016-03-30,98
"67",2016-03-31,27
"68",2016-04-01,29
"69",2016-04-02,3
"70",2016-04-04,89
"71",2016-04-05,77
"72",2016-04-06,56
"73",2016-04-07,52
"74",2016-04-08,32
"75",2016-04-11,14
"76",2016-04-12,119
"77",2016-04-13,28
"78",2016-04-14,119
"79",2016-04-15,98
"80",2016-04-18,70
"81",2016-04-19,18
"82",2016-04-20,66
"83",2016-04-21,10
"84",2016-04-22,13
"85",2016-04-25,84
"86",2016-04-26,71
"87",2016-04-27,64
"88",2016-04-28,46
"89",2016-05-04,33
"90",2016-05-05,123
"91",2016-05-06,45
"92",2016-05-09,60
"93",2016-05-10,23
"94",2016-05-11,129
"95",2016-05-12,68
"96",2016-05-13,75
"97",2016-05-14,10
"98",2016-05-16,83
"99",2016-05-17,10
"100",2016-05-18,8
"101",2016-05-19,82
"102",2016-05-20,61
"103",2016-05-21,26
"104",2016-05-23,68
"105",2016-05-24,77
"106",2016-05-25,125
"107",2016-05-26,99
"108",2016-05-27,32
"109",2016-05-28,20
"110",2016-05-30,39
"111",2016-05-31,64
"112",2016-06-01,30
"113",2016-06-02,9
"114",2016-06-03,17
"115",2016-06-04,9
"116",2016-06-06,22
"117",2016-06-07,8
"118",2016-06-08,45
"119",2016-06-09,39
"120",2016-06-10,30
"121",2016-06-13,45
"122",2016-06-14,51
"123",2016-06-15,93
"124",2016-06-16,118
"125",2016-06-17,41
"126",2016-06-20,53
"127",2016-06-21,47
"128",2016-06-22,22
"129",2016-06-23,10
"130",2016-06-24,13
"131",2016-06-27,24
"132",2016-06-28,28
"133",2016-06-29,58
"134",2016-06-30,27
"135",2016-07-01,24
"136",2016-07-04,43
"137",2016-07-05,23
"138",2016-07-06,50
"139",2016-07-07,83
"140",2016-07-08,34
"141",2016-07-11,25
"142",2016-07-12,38
"143",2016-07-13,68
"144",2016-07-14,52
"145",2016-07-15,28
"146",2016-07-18,9
"147",2016-07-19,25
"148",2016-07-20,24
"149",2016-07-21,28
"150",2016-07-22,23
"151",2016-07-25,25
"152",2016-07-26,54
"153",2016-07-27,32
"154",2016-07-29,23
"155",2016-08-01,41
"156",2016-08-03,70
"157",2016-08-04,50
"158",2016-08-05,42
"159",2016-08-06,8
"160",2016-08-08,54
"161",2016-08-09,88
