"","datum","x"
"1",2016-01-04,32
"2",2016-01-05,70
"3",2016-01-06,92
"4",2016-01-08,14
"5",2016-01-09,3
"6",2016-01-11,82
"7",2016-01-12,95
"8",2016-01-13,125
"9",2016-01-14,219
"10",2016-01-15,74
"11",2016-01-16,16
"12",2016-01-18,75
"13",2016-01-19,89
"14",2016-01-20,86
"15",2016-01-21,46
"16",2016-01-22,138
"17",2016-01-23,77
"18",2016-01-25,72
"19",2016-01-26,68
"20",2016-01-27,163
"21",2016-01-28,180
"22",2016-01-29,49
"23",2016-01-30,24
"24",2016-02-01,76
"25",2016-02-02,140
"26",2016-02-03,70
"27",2016-02-04,157
"28",2016-02-05,139
"29",2016-02-06,21
"30",2016-02-08,108
"31",2016-02-09,232
"32",2016-02-10,111
"33",2016-02-11,159
"34",2016-02-12,263
"35",2016-02-13,67
"36",2016-02-15,106
"37",2016-02-16,160
"38",2016-02-17,230
"39",2016-02-18,344
"40",2016-02-19,220
"41",2016-02-20,74
"42",2016-02-21,4
"43",2016-02-22,360
"44",2016-02-23,295
"45",2016-02-24,242
"46",2016-02-25,236
"47",2016-02-26,343
"48",2016-02-27,104
"49",2016-02-29,166
"50",2016-03-01,62
"51",2016-03-02,61
"52",2016-03-03,102
"53",2016-03-04,57
"54",2016-03-07,35
"55",2016-03-08,27
"56",2016-03-09,91
"57",2016-03-10,66
"58",2016-03-11,32
"59",2016-03-12,16
"60",2016-03-14,33
"61",2016-03-15,83
"62",2016-03-16,30
"63",2016-03-17,87
"64",2016-03-18,42
"65",2016-03-21,36
"66",2016-03-22,25
"67",2016-03-23,122
"68",2016-03-24,65
"69",2016-03-25,73
"70",2016-03-26,5
"71",2016-03-28,39
"72",2016-03-29,33
"73",2016-03-30,47
"74",2016-03-31,117
"75",2016-04-01,57
"76",2016-04-04,46
"77",2016-04-05,52
"78",2016-04-06,113
"79",2016-04-07,58
"80",2016-04-08,89
"81",2016-04-11,7
"82",2016-04-12,26
"83",2016-04-13,48
