"","datum","x"
"1",2016-01-01,81
"2",2016-01-02,229
"3",2016-01-04,142
"4",2016-01-05,175
"5",2016-01-06,126
"6",2016-01-08,105
"7",2016-01-09,79
"8",2016-01-11,104
"9",2016-01-12,63
"10",2016-01-13,146
"11",2016-01-14,133
"12",2016-01-15,60
"13",2016-01-18,119
"14",2016-01-19,21
"15",2016-01-20,34
"16",2016-01-21,13
"17",2016-01-22,145
"18",2016-01-23,10
"19",2016-01-25,48
"20",2016-01-26,23
"21",2016-01-27,56
"22",2016-01-28,36
"23",2016-01-29,105
"24",2016-01-30,40
"25",2016-02-01,26
"26",2016-02-02,136
"27",2016-02-03,67
"28",2016-02-04,53
"29",2016-02-05,91
"30",2016-02-06,46
"31",2016-02-08,59
"32",2016-02-09,35
"33",2016-02-11,71
"34",2016-02-12,7
"35",2016-02-13,20
"36",2016-02-15,34
"37",2016-02-16,11
"38",2016-02-17,95
"39",2016-02-18,68
"40",2016-02-19,63
"41",2016-02-20,39
"42",2016-02-22,194
"43",2016-02-23,101
"44",2016-02-24,4
"45",2016-02-25,165
"46",2016-02-26,45
"47",2016-02-27,58
"48",2016-02-29,155
"49",2016-03-01,109
"50",2016-03-02,41
"51",2016-03-03,67
"52",2016-03-04,116
"53",2016-03-07,118
"54",2016-03-08,37
"55",2016-03-09,52
"56",2016-03-10,49
"57",2016-03-11,45
"58",2016-03-12,27
"59",2016-03-14,78
"60",2016-03-15,77
"61",2016-03-16,51
"62",2016-03-17,32
"63",2016-03-18,12
"64",2016-03-19,36
"65",2016-03-21,80
"66",2016-03-22,65
"67",2016-03-23,26
"68",2016-03-24,172
"69",2016-03-25,19
"70",2016-03-26,7
"71",2016-03-28,50
"72",2016-03-29,102
"73",2016-03-30,45
"74",2016-03-31,33
"75",2016-04-01,64
"76",2016-04-02,18
"77",2016-04-04,157
"78",2016-04-05,15
"79",2016-04-06,65
"80",2016-04-07,47
"81",2016-04-08,15
"82",2016-04-11,35
"83",2016-04-12,67
"84",2016-04-13,94
"85",2016-04-14,37
"86",2016-04-15,30
"87",2016-04-16,25
"88",2016-04-18,16
"89",2016-04-19,51
"90",2016-04-20,101
"91",2016-04-21,51
"92",2016-04-22,57
"93",2016-04-23,5
"94",2016-04-25,16
"95",2016-04-26,72
"96",2016-04-27,20
"97",2016-04-28,10
"98",2016-04-29,25
"99",2016-05-04,135
"100",2016-05-05,48
"101",2016-05-06,65
"102",2016-05-07,2
"103",2016-05-09,77
"104",2016-05-10,63
"105",2016-05-11,142
"106",2016-05-12,3
"107",2016-05-13,49
"108",2016-05-14,20
"109",2016-05-16,56
"110",2016-05-17,79
"111",2016-05-18,4
"112",2016-05-19,71
"113",2016-05-20,83
"114",2016-05-21,125
"115",2016-05-23,46
"116",2016-05-24,101
"117",2016-05-25,84
"118",2016-05-26,140
"119",2016-05-27,152
"120",2016-05-28,232
"121",2016-05-30,94
"122",2016-05-31,44
"123",2016-06-01,55
"124",2016-06-02,71
"125",2016-06-03,90
"126",2016-06-06,43
"127",2016-06-07,28
"128",2016-06-08,70
"129",2016-06-09,27
"130",2016-06-10,25
"131",2016-06-13,47
"132",2016-06-14,39
"133",2016-06-15,54
"134",2016-06-16,3
"135",2016-06-17,46
"136",2016-06-18,13
"137",2016-06-20,22
"138",2016-06-21,60
"139",2016-06-22,94
"140",2016-06-24,19
"141",2016-06-25,4
"142",2016-06-27,47
"143",2016-06-28,40
"144",2016-06-29,39
"145",2016-06-30,119
"146",2016-07-01,5
"147",2016-07-02,7
"148",2016-07-04,15
"149",2016-07-05,26
"150",2016-07-06,76
"151",2016-07-07,79
"152",2016-07-08,62
"153",2016-07-09,5
"154",2016-07-11,22
"155",2016-07-12,30
"156",2016-07-13,25
"157",2016-07-14,7
"158",2016-07-15,92
"159",2016-07-18,10
"160",2016-07-19,36
"161",2016-07-20,22
"162",2016-07-21,15
"163",2016-07-22,8
"164",2016-07-25,64
"165",2016-07-26,49
"166",2016-07-27,95
"167",2016-07-28,12
"168",2016-07-29,32
"169",2016-08-01,26
"170",2016-08-02,44
"171",2016-08-03,50
"172",2016-08-04,49
"173",2016-08-05,15
"174",2016-08-06,14
"175",2016-08-08,4
"176",2016-08-09,79
"177",2016-08-10,49
"178",2016-08-11,117
"179",2016-08-12,50
"180",2016-08-13,20
"181",2016-08-15,47
"182",2016-08-16,84
"183",2016-08-17,10
"184",2016-08-18,95
"185",2016-08-19,26
"186",2016-08-20,8
"187",2016-08-22,66
"188",2016-08-23,10
"189",2016-08-24,25
"190",2016-08-25,14
"191",2016-08-27,12
"192",2016-08-29,25
"193",2016-08-30,106
"194",2016-08-31,26
"195",2016-09-01,65
"196",2016-09-02,29
"197",2016-09-03,39
"198",2016-09-05,34
"199",2016-09-06,44
"200",2016-09-07,99
"201",2016-09-08,42
"202",2016-09-09,67
"203",2016-09-12,85
"204",2016-09-13,91
"205",2016-09-14,49
"206",2016-09-15,77
"207",2016-09-16,55
"208",2016-09-17,57
"209",2016-09-19,38
"210",2016-09-20,113
"211",2016-09-21,45
"212",2016-09-22,17
"213",2016-09-23,27
"214",2016-09-24,26
"215",2016-09-26,40
"216",2016-09-27,11
"217",2016-09-28,122
"218",2016-09-29,47
"219",2016-09-30,247
"220",2016-10-01,22
"221",2016-10-03,46
"222",2016-10-04,9
"223",2016-10-05,60
"224",2016-10-06,59
"225",2016-10-07,48
"226",2016-10-10,86
"227",2016-10-11,72
"228",2016-10-12,20
"229",2016-10-13,29
"230",2016-10-14,101
"231",2016-10-15,5
"232",2016-10-17,47
"233",2016-10-18,66
"234",2016-10-19,56
"235",2016-10-20,7
"236",2016-10-21,37
"237",2016-10-24,125
"238",2016-10-25,14
"239",2016-10-26,19
"240",2016-10-27,9
"241",2016-10-28,66
"242",2016-10-31,39
"243",2016-11-01,104
"244",2016-11-02,54
"245",2016-11-03,37
"246",2016-11-04,77
"247",2016-11-05,26
"248",2016-11-07,53
"249",2016-11-08,39
"250",2016-11-09,33
