"","datum","x"
"1",2016-01-01,21
"2",2016-01-02,4
"3",2016-01-04,37
"4",2016-01-05,103
"5",2016-01-06,52
"6",2016-01-08,24
"7",2016-01-09,2
"8",2016-01-11,39
"9",2016-01-12,22
"10",2016-01-13,7
"11",2016-01-14,40
"12",2016-01-15,49
"13",2016-01-16,4
"14",2016-01-18,12
"15",2016-01-19,68
"16",2016-01-20,19
"17",2016-01-21,53
"18",2016-01-22,81
"19",2016-01-23,5
"20",2016-01-25,68
"21",2016-01-26,41
"22",2016-01-27,66
"23",2016-01-28,25
"24",2016-01-29,32
"25",2016-01-30,11
"26",2016-02-01,33
"27",2016-02-02,53
"28",2016-02-03,53
"29",2016-02-04,11
"30",2016-02-05,10
"31",2016-02-06,12
"32",2016-02-08,27
"33",2016-02-09,14
"34",2016-02-10,117
"35",2016-02-11,11
"36",2016-02-12,5
"37",2016-02-15,5
"38",2016-02-16,44
"39",2016-02-17,18
"40",2016-02-18,14
"41",2016-02-19,35
"42",2016-02-20,4
"43",2016-02-22,56
"44",2016-02-23,42
"45",2016-02-24,3
"46",2016-02-25,15
"47",2016-02-26,67
"48",2016-02-29,6
"49",2016-03-01,68
"50",2016-03-02,52
"51",2016-03-03,207
"52",2016-03-04,61
"53",2016-03-07,39
"54",2016-03-08,65
"55",2016-03-09,38
"56",2016-03-10,26
"57",2016-03-11,28
"58",2016-03-14,13
"59",2016-03-15,14
"60",2016-03-16,25
"61",2016-03-17,11
"62",2016-03-19,5
"63",2016-03-21,20
"64",2016-03-22,29
"65",2016-03-23,63
"66",2016-03-24,6
"67",2016-03-25,7
"68",2016-03-28,5
"69",2016-03-29,11
"70",2016-03-30,61
"71",2016-03-31,21
"72",2016-04-01,40
"73",2016-04-02,9
"74",2016-04-04,11
"75",2016-04-05,14
"76",2016-04-06,106
"77",2016-04-07,51
"78",2016-04-08,88
"79",2016-04-09,19
"80",2016-04-11,17
"81",2016-04-12,20
"82",2016-04-13,44
"83",2016-04-14,20
"84",2016-04-15,31
"85",2016-04-18,6
"86",2016-04-19,23
"87",2016-04-20,57
"88",2016-04-21,17
"89",2016-04-22,22
"90",2016-04-25,41
"91",2016-04-26,33
"92",2016-04-27,4
"93",2016-05-04,46
"94",2016-05-05,12
"95",2016-05-06,14
"96",2016-05-09,15
"97",2016-05-10,29
"98",2016-05-11,21
"99",2016-05-12,55
"100",2016-05-13,20
"101",2016-05-14,4
"102",2016-05-16,17
"103",2016-05-17,46
"104",2016-05-18,19
"105",2016-05-20,78
"106",2016-05-23,14
"107",2016-05-24,20
"108",2016-05-25,41
"109",2016-05-26,40
"110",2016-05-27,4
"111",2016-05-28,30
"112",2016-05-31,4
"113",2016-06-02,8
"114",2016-06-03,25
"115",2016-06-06,19
"116",2016-06-07,40
"117",2016-06-08,93
"118",2016-06-09,4
"119",2016-06-10,26
"120",2016-06-11,25
"121",2016-06-13,4
"122",2016-06-18,29
"123",2016-06-20,10
"124",2016-06-21,8
"125",2016-06-22,22
"126",2016-06-24,7
"127",2016-06-25,14
"128",2016-06-27,13
"129",2016-06-28,10
"130",2016-06-29,16
"131",2016-07-01,13
"132",2016-07-04,44
"133",2016-07-07,24
"134",2016-07-08,6
"135",2016-07-09,3
"136",2016-07-11,24
"137",2016-07-13,19
"138",2016-07-14,15
"139",2016-07-22,10
"140",2016-07-25,32
"141",2016-07-26,4
"142",2016-07-27,33
"143",2016-07-28,37
"144",2016-08-01,27
"145",2016-08-02,13
"146",2016-08-04,35
"147",2016-08-05,130
"148",2016-08-06,378
"149",2016-08-08,3
"150",2016-08-09,9
"151",2016-08-11,11
"152",2016-08-12,6
"153",2016-08-13,35
"154",2016-08-16,10
"155",2016-08-17,54
"156",2016-08-18,4
"157",2016-08-20,5
"158",2016-08-22,46
"159",2016-08-23,10
"160",2016-08-26,14
"161",2016-08-30,24
"162",2016-08-31,9
"163",2016-09-01,45
"164",2016-09-02,9
"165",2016-09-05,60
"166",2016-09-06,6
"167",2016-09-07,12
"168",2016-09-08,34
"169",2016-09-09,32
"170",2016-09-12,28
"171",2016-09-13,81
"172",2016-09-14,21
"173",2016-09-15,3
"174",2016-09-16,28
"175",2016-09-21,66
"176",2016-09-23,27
"177",2016-09-27,4
"178",2016-09-28,63
"179",2016-09-29,32
"180",2016-09-30,40
"181",2016-10-03,34
"182",2016-10-04,14
"183",2016-10-05,17
"184",2016-10-06,7
"185",2016-10-07,12
"186",2016-10-10,6
"187",2016-10-11,4
"188",2016-10-12,53
"189",2016-10-13,67
"190",2016-10-14,43
"191",2016-10-18,10
"192",2016-10-19,20
"193",2016-10-21,4
"194",2016-10-25,8
"195",2016-10-26,3
"196",2016-10-27,3
"197",2016-10-28,14
"198",2016-10-31,54
"199",2016-11-01,28
"200",2016-11-02,22
"201",2016-11-03,23
"202",2016-11-04,38
"203",2016-11-08,30
"204",2016-11-09,39
"205",2016-11-10,22
"206",2016-11-14,14
"207",2016-11-16,21
"208",2016-11-17,21
"209",2016-11-21,12
"210",2016-11-22,14
"211",2016-11-23,80
"212",2016-11-24,16
"213",2016-11-28,41
"214",2016-11-29,24
"215",2016-11-30,25
"216",2016-12-01,17
"217",2016-12-02,30
"218",2016-12-05,15
"219",2016-12-06,8
"220",2016-12-07,7
"221",2016-12-08,21
"222",2016-12-12,31
"223",2016-12-14,13
"224",2016-12-16,13
"225",2016-12-19,31
"226",2016-12-20,25
"227",2016-12-21,6
"228",2016-12-22,14
"229",2016-12-23,22
"230",2016-12-26,25
"231",2016-12-27,4
"232",2016-12-28,20
"233",2016-12-29,12
"234",2016-12-30,8
"235",2017-01-04,6
"236",2017-01-05,35
"237",2017-01-09,4
"238",2017-01-10,120
"239",2017-01-11,45
"240",2017-01-12,14
"241",2017-01-13,26
"242",2017-01-14,8
"243",2017-01-16,2
"244",2017-01-17,34
"245",2017-01-18,34
"246",2017-01-19,69
"247",2017-01-20,6
"248",2017-01-23,75
"249",2017-01-24,19
"250",2017-01-25,30
"251",2017-01-26,48
"252",2017-01-27,9
"253",2017-01-28,7
"254",2017-01-30,68
"255",2017-01-31,32
"256",2017-02-01,27
"257",2017-02-02,33
"258",2017-02-03,14
"259",2017-02-04,11
"260",2017-02-06,15
"261",2017-02-07,106
"262",2017-02-08,122
"263",2017-02-09,28
"264",2017-02-10,30
"265",2017-02-13,158
"266",2017-02-14,71
"267",2017-02-16,27
"268",2017-02-17,33
"269",2017-02-20,20
"270",2017-02-21,41
"271",2017-02-22,100
"272",2017-02-23,14
"273",2017-02-24,12
"274",2017-02-27,47
"275",2017-02-28,32
"276",2017-03-01,8
"277",2017-03-02,24
"278",2017-03-03,50
"279",2017-03-04,5
"280",2017-03-06,204
"281",2017-03-07,142
"282",2017-03-08,92
"283",2017-03-10,18
"284",2017-03-11,4
"285",2017-03-13,123
"286",2017-03-14,21
"287",2017-03-15,41
"288",2017-03-16,16
"289",2017-03-17,61
"290",2017-03-18,45
"291",2017-03-20,14
"292",2017-03-21,89
"293",2017-03-22,22
"294",2017-03-23,12
"295",2017-03-24,61
"296",2017-03-27,113
"297",2017-03-30,32
"298",2017-03-31,37
"299",2017-04-03,34
"300",2017-04-04,74
"301",2017-04-05,48
"302",2017-04-06,12
"303",2017-04-07,27
"304",2017-04-10,79
"305",2017-04-11,35
"306",2017-04-12,5
"307",2017-04-13,40
"308",2017-04-18,49
"309",2017-04-19,55
"310",2017-04-21,22
"311",2017-04-22,4
"312",2017-04-24,16
"313",2017-04-25,7
"314",2017-04-28,35
"315",2017-05-03,39
"316",2017-05-04,8
"317",2017-05-05,37
"318",2017-05-06,15
"319",2017-05-08,9
"320",2017-05-09,51
"321",2017-05-10,24
"322",2017-05-11,36
"323",2017-05-12,30
"324",2017-05-15,5
"325",2017-05-16,29
"326",2017-05-17,31
"327",2017-05-18,2
"328",2017-05-19,6
"329",2017-05-22,15
"330",2017-05-23,4
"331",2017-05-25,40
"332",2017-05-26,30
"333",2017-05-29,8
"334",2017-05-30,24
"335",2017-06-01,25
"336",2017-06-02,13
"337",2017-06-05,12
"338",2017-06-06,8
