"","datum","x"
"1",2016-01-02,8
"2",2016-01-04,220
"3",2016-01-05,177
"4",2016-01-06,78
"5",2016-01-08,103
"6",2016-01-09,74
"7",2016-01-11,319
"8",2016-01-12,381
"9",2016-01-13,174
"10",2016-01-14,293
"11",2016-01-15,126
"12",2016-01-16,3
"13",2016-01-18,240
"14",2016-01-19,379
"15",2016-01-20,114
"16",2016-01-21,100
"17",2016-01-22,253
"18",2016-01-23,16
"19",2016-01-25,211
"20",2016-01-26,287
"21",2016-01-27,344
"22",2016-01-28,422
"23",2016-01-29,463
"24",2016-01-30,46
"25",2016-02-01,433
"26",2016-02-02,527
"27",2016-02-03,196
"28",2016-02-04,360
"29",2016-02-05,284
"30",2016-02-06,23
"31",2016-02-08,247
"32",2016-02-09,152
"33",2016-02-10,356
"34",2016-02-11,336
"35",2016-02-12,232
"36",2016-02-13,28
"37",2016-02-15,23
"38",2016-02-16,28
"39",2016-02-17,144
"40",2016-02-18,235
"41",2016-02-19,124
"42",2016-02-20,29
"43",2016-02-22,88
"44",2016-02-23,236
"45",2016-02-24,118
"46",2016-02-25,236
"47",2016-02-26,254
"48",2016-02-27,73
"49",2016-02-29,300
"50",2016-03-01,387
"51",2016-03-02,222
"52",2016-03-03,310
"53",2016-03-04,214
"54",2016-03-05,2
"55",2016-03-07,170
"56",2016-03-08,112
"57",2016-03-09,157
"58",2016-03-10,149
"59",2016-03-11,202
"60",2016-03-12,26
"61",2016-03-14,149
"62",2016-03-15,216
"63",2016-03-16,191
"64",2016-03-17,106
"65",2016-03-18,94
"66",2016-03-19,2
"67",2016-03-21,162
"68",2016-03-22,124
"69",2016-03-23,124
"70",2016-03-24,218
"71",2016-03-25,92
"72",2016-03-26,39
"73",2016-03-28,233
"74",2016-03-29,241
"75",2016-03-30,324
"76",2016-03-31,290
"77",2016-04-01,221
"78",2016-04-02,31
"79",2016-04-04,184
"80",2016-04-05,158
"81",2016-04-06,236
"82",2016-04-07,197
"83",2016-04-08,89
"84",2016-04-09,63
"85",2016-04-11,149
"86",2016-04-12,293
"87",2016-04-13,238
"88",2016-04-14,120
"89",2016-04-15,179
"90",2016-04-18,229
"91",2016-04-19,224
"92",2016-04-20,186
"93",2016-04-21,293
"94",2016-04-22,226
"95",2016-04-23,26
"96",2016-04-25,306
"97",2016-04-26,425
"98",2016-04-27,585
"99",2016-04-28,484
"100",2016-05-04,204
"101",2016-05-05,188
"102",2016-05-06,76
"103",2016-05-09,90
"104",2016-05-10,274
"105",2016-05-11,139
"106",2016-05-12,128
"107",2016-05-13,126
"108",2016-05-14,2
"109",2016-05-16,33
"110",2016-05-17,129
"111",2016-05-18,124
"112",2016-05-19,180
"113",2016-05-20,60
"114",2016-05-23,148
"115",2016-05-24,110
"116",2016-05-25,76
"117",2016-05-26,188
"118",2016-05-27,193
"119",2016-05-28,4
"120",2016-05-30,209
"121",2016-05-31,265
"122",2016-06-01,195
"123",2016-06-02,187
"124",2016-06-03,62
"125",2016-06-04,18
"126",2016-06-06,135
"127",2016-06-07,112
