"","datum","x"
"1",2016-01-05,41
"2",2016-01-06,21
"3",2016-01-08,13
"4",2016-01-11,38
"5",2016-01-12,22
"6",2016-01-13,83
"7",2016-01-14,43
"8",2016-01-15,14
"9",2016-01-18,54
"10",2016-01-19,86
"11",2016-01-20,130
"12",2016-01-21,87
"13",2016-01-22,112
"14",2016-01-23,23
"15",2016-01-25,86
"16",2016-01-26,19
"17",2016-01-27,25
"18",2016-01-28,68
"19",2016-01-29,38
"20",2016-01-30,54
"21",2016-02-01,60
"22",2016-02-02,67
"23",2016-02-03,12
"24",2016-02-04,36
"25",2016-02-05,196
"26",2016-02-06,80
"27",2016-02-08,93
"28",2016-02-09,88
"29",2016-02-10,271
"30",2016-02-11,117
"31",2016-02-12,146
"32",2016-02-13,8
"33",2016-02-15,12
"34",2016-02-16,23
"35",2016-02-17,46
"36",2016-02-18,197
"37",2016-02-19,112
"38",2016-02-20,7
"39",2016-02-22,294
"40",2016-02-23,154
"41",2016-02-24,162
"42",2016-02-25,74
"43",2016-02-26,55
"44",2016-02-27,26
"45",2016-02-29,186
"46",2016-03-01,39
"47",2016-03-02,38
"48",2016-03-04,85
"49",2016-03-07,16
"50",2016-03-08,25
"51",2016-03-09,23
"52",2016-03-10,13
"53",2016-03-11,210
"54",2016-03-12,50
"55",2016-03-14,31
"56",2016-03-15,23
"57",2016-03-16,46
"58",2016-03-17,132
"59",2016-03-18,38
"60",2016-03-21,10
"61",2016-03-22,9
"62",2016-03-23,33
"63",2016-03-24,12
"64",2016-03-25,12
"65",2016-03-28,8
"66",2016-03-29,14
"67",2016-03-30,27
"68",2016-04-05,7
"69",2016-04-06,21
"70",2016-04-07,28
"71",2016-04-08,124
"72",2016-04-09,40
"73",2016-04-11,40
"74",2016-04-12,72
"75",2016-04-13,5
"76",2016-04-14,4
"77",2016-04-16,6
"78",2016-04-18,38
"79",2016-04-19,15
"80",2016-04-20,6
"81",2016-04-22,21
"82",2016-04-25,27
"83",2016-04-26,5
"84",2016-04-27,3
"85",2016-04-28,20
"86",2016-05-04,6
"87",2016-05-05,39
"88",2016-05-11,6
"89",2016-05-12,15
"90",2016-05-13,62
"91",2016-05-16,24
"92",2016-05-17,48
"93",2016-05-18,9
"94",2016-05-19,17
"95",2016-05-23,11
"96",2016-05-25,24
"97",2016-05-26,14
"98",2016-05-30,25
"99",2016-05-31,16
"100",2016-06-01,14
"101",2016-06-02,30
"102",2016-06-03,18
"103",2016-06-06,49
"104",2016-06-07,24
"105",2016-06-08,23
"106",2016-06-10,55
"107",2016-06-13,8
"108",2016-06-14,19
"109",2016-06-15,15
"110",2016-06-17,76
"111",2016-06-20,40
"112",2016-06-23,20
"113",2016-06-24,16
"114",2016-06-25,13
"115",2016-06-27,28
"116",2016-06-28,38
"117",2016-06-29,18
"118",2016-06-30,10
"119",2016-07-01,10
"120",2016-07-05,7
"121",2016-07-06,32
"122",2016-07-07,16
"123",2016-07-08,11
"124",2016-07-09,6
"125",2016-07-11,13
"126",2016-07-12,15
"127",2016-07-13,6
"128",2016-07-14,11
"129",2016-07-15,4
"130",2016-07-19,12
"131",2016-07-22,3
"132",2016-07-26,10
"133",2016-07-27,6
"134",2016-07-28,61
"135",2016-07-29,9
"136",2016-08-01,15
"137",2016-08-02,8
"138",2016-08-03,10
"139",2016-08-05,36
"140",2016-08-08,16
"141",2016-08-10,15
"142",2016-08-11,20
"143",2016-08-12,23
"144",2016-08-13,4
"145",2016-08-15,34
"146",2016-08-16,19
"147",2016-08-19,5
"148",2016-08-22,5
"149",2016-08-25,16
"150",2016-08-26,8
"151",2016-09-01,12
"152",2016-09-02,25
"153",2016-09-05,15
"154",2016-09-06,17
"155",2016-09-07,26
"156",2016-09-09,13
"157",2016-09-13,5
"158",2016-09-14,36
"159",2016-09-15,18
"160",2016-09-19,8
"161",2016-09-21,8
"162",2016-09-22,44
"163",2016-09-26,12
"164",2016-09-27,15
"165",2016-09-28,9
"166",2016-09-29,36
"167",2016-09-30,30
"168",2016-10-03,12
"169",2016-10-04,20
"170",2016-10-05,8
"171",2016-10-07,15
"172",2016-10-10,17
"173",2016-10-11,39
"174",2016-10-12,11
"175",2016-10-13,78
"176",2016-10-14,48
"177",2016-10-17,29
"178",2016-10-18,9
"179",2016-10-19,4
"180",2016-10-20,17
"181",2016-10-24,3
"182",2016-10-25,14
"183",2016-10-26,12
"184",2016-10-27,28
"185",2016-10-28,8
"186",2016-11-01,36
"187",2016-11-07,23
"188",2016-11-09,17
"189",2016-11-12,6
