"","datum","x"
"1",2016-01-04,94
"2",2016-01-05,55
"3",2016-01-06,78
"4",2016-01-08,23
"5",2016-01-09,5
"6",2016-01-11,111
"7",2016-01-12,166
"8",2016-01-13,92
"9",2016-01-14,394
"10",2016-01-15,343
"11",2016-01-16,8
"12",2016-01-18,26
"13",2016-01-19,48
"14",2016-01-20,92
"15",2016-01-21,27
"16",2016-01-22,57
"17",2016-01-23,2
"18",2016-01-25,70
"19",2016-01-26,36
"20",2016-01-27,73
"21",2016-01-28,54
"22",2016-01-29,78
"23",2016-01-30,30
"24",2016-02-01,32
"25",2016-02-02,32
"26",2016-02-03,54
"27",2016-02-04,65
"28",2016-02-05,68
"29",2016-02-06,7
"30",2016-02-08,84
"31",2016-02-09,149
"32",2016-02-10,161
"33",2016-02-11,63
"34",2016-02-12,168
"35",2016-02-13,56
"36",2016-02-15,17
"37",2016-02-16,77
"38",2016-02-17,194
"39",2016-02-18,33
"40",2016-02-19,14
"41",2016-02-20,5
"42",2016-02-22,14
"43",2016-02-23,68
"44",2016-02-24,72
"45",2016-02-25,61
"46",2016-02-26,35
"47",2016-02-29,6
"48",2016-03-01,4
"49",2016-03-02,68
"50",2016-03-03,30
"51",2016-03-04,43
"52",2016-03-07,20
"53",2016-03-08,50
"54",2016-03-09,51
"55",2016-03-10,82
"56",2016-03-11,92
"57",2016-03-12,16
"58",2016-03-14,172
"59",2016-03-15,113
"60",2016-03-16,15
"61",2016-03-17,29
"62",2016-03-18,11
"63",2016-03-21,6
"64",2016-03-22,34
"65",2016-03-23,18
"66",2016-03-25,40
"67",2016-03-28,13
"68",2016-03-30,16
"69",2016-03-31,10
"70",2016-04-01,42
"71",2016-04-02,7
"72",2016-04-04,38
"73",2016-04-05,14
"74",2016-04-06,12
"75",2016-04-07,100
"76",2016-04-08,16
"77",2016-04-09,45
"78",2016-04-11,49
"79",2016-04-12,94
"80",2016-04-13,201
"81",2016-04-14,235
"82",2016-04-15,172
"83",2016-04-18,39
"84",2016-04-19,4
"85",2016-04-21,4
"86",2016-04-22,24
"87",2016-04-25,8
"88",2016-04-26,19
"89",2016-04-27,23
"90",2016-05-04,7
"91",2016-05-05,38
"92",2016-05-06,42
"93",2016-05-09,26
"94",2016-05-10,86
"95",2016-05-11,79
"96",2016-05-12,116
"97",2016-05-13,198
"98",2016-05-14,19
"99",2016-05-16,139
"100",2016-05-17,35
"101",2016-05-18,21
"102",2016-05-19,25
"103",2016-05-20,6
"104",2016-05-23,10
"105",2016-05-24,70
"106",2016-05-25,9
"107",2016-05-26,21
"108",2016-05-27,74
"109",2016-05-28,17
"110",2016-05-30,18
"111",2016-05-31,22
"112",2016-06-01,46
"113",2016-06-02,28
"114",2016-06-03,18
"115",2016-06-06,10
"116",2016-06-07,26
"117",2016-06-09,130
"118",2016-06-10,56
"119",2016-06-13,78
"120",2016-06-14,154
"121",2016-06-15,226
"122",2016-06-16,26
"123",2016-06-17,30
"124",2016-06-20,34
"125",2016-06-22,4
"126",2016-06-23,10
"127",2016-06-24,11
"128",2016-06-25,3
"129",2016-06-27,5
"130",2016-06-28,11
"131",2016-06-29,12
"132",2016-07-02,8
"133",2016-07-04,8
"134",2016-07-05,27
