"","datum","x"
"1",2016-01-04,11
"2",2016-01-11,19
"3",2016-01-12,28
"4",2016-01-13,13
"5",2016-01-14,13
"6",2016-01-15,4
"7",2016-01-16,70
"8",2016-01-18,52
"9",2016-01-20,28
"10",2016-01-21,27
"11",2016-01-22,15
"12",2016-01-25,7
"13",2016-01-26,6
"14",2016-01-28,95
"15",2016-01-30,10
"16",2016-02-02,8
"17",2016-02-03,85
"18",2016-02-04,35
"19",2016-02-05,41
"20",2016-02-06,12
"21",2016-02-09,10
"22",2016-02-10,10
"23",2016-02-13,3
"24",2016-02-16,17
"25",2016-02-18,44
"26",2016-02-19,8
"27",2016-02-22,5
"28",2016-02-24,6
"29",2016-02-25,4
"30",2016-02-26,60
"31",2016-02-27,6
"32",2016-03-02,26
"33",2016-03-03,21
"34",2016-03-04,33
"35",2016-03-08,15
"36",2016-03-09,9
"37",2016-03-16,8
"38",2016-03-17,5
"39",2016-03-18,15
"40",2016-03-21,7
"41",2016-03-23,17
"42",2016-03-25,11
"43",2016-03-29,4
"44",2016-03-30,6
"45",2016-04-01,114
"46",2016-04-04,45
"47",2016-04-06,28
"48",2016-04-12,17
"49",2016-04-19,22
"50",2016-04-20,29
"51",2016-04-22,66
"52",2016-04-25,21
"53",2016-04-26,21
"54",2016-04-28,11
"55",2016-05-05,16
"56",2016-05-09,3
"57",2016-05-11,23
"58",2016-05-16,5
"59",2016-05-17,9
"60",2016-05-19,128
"61",2016-05-20,36
"62",2016-05-26,11
"63",2016-05-27,5
"64",2016-06-01,16
"65",2016-06-06,14
"66",2016-06-07,6
"67",2016-06-15,25
"68",2016-06-23,10
"69",2016-07-07,5
"70",2016-07-08,34
"71",2016-07-12,6
"72",2016-07-14,7
"73",2016-07-18,3
"74",2016-07-20,8
"75",2016-07-21,6
"76",2016-07-26,48
"77",2016-07-27,8
"78",2016-08-03,15
"79",2016-08-09,6
"80",2016-08-22,21
"81",2016-08-29,13
"82",2016-08-31,14
"83",2016-09-02,10
