"","datum","x"
"1",2016-01-01,60
"2",2016-01-02,112
"3",2016-01-04,429
"4",2016-01-05,286
"5",2016-01-06,238
"6",2016-01-08,203
"7",2016-01-09,45
"8",2016-01-11,301
"9",2016-01-12,360
"10",2016-01-13,350
"11",2016-01-14,415
"12",2016-01-15,275
"13",2016-01-16,59
"14",2016-01-18,214
"15",2016-01-19,129
"16",2016-01-20,172
"17",2016-01-21,141
"18",2016-01-22,121
"19",2016-01-23,42
"20",2016-01-25,351
"21",2016-01-26,110
"22",2016-01-27,227
"23",2016-01-28,219
"24",2016-01-29,276
"25",2016-01-30,96
"26",2016-02-01,158
"27",2016-02-02,182
"28",2016-02-03,138
"29",2016-02-04,188
"30",2016-02-05,140
"31",2016-02-06,12
"32",2016-02-08,109
"33",2016-02-09,251
"34",2016-02-10,381
"35",2016-02-11,158
"36",2016-02-12,168
"37",2016-02-13,21
"38",2016-02-15,41
"39",2016-02-16,27
"40",2016-02-17,148
"41",2016-02-18,116
"42",2016-02-19,377
"43",2016-02-20,49
"44",2016-02-22,164
"45",2016-02-23,283
"46",2016-02-24,299
"47",2016-02-25,222
"48",2016-02-26,268
"49",2016-02-27,52
"50",2016-02-29,105
"51",2016-03-01,115
"52",2016-03-02,116
"53",2016-03-03,117
"54",2016-03-04,332
"55",2016-03-07,89
"56",2016-03-08,89
"57",2016-03-09,131
"58",2016-03-10,152
"59",2016-03-11,110
"60",2016-03-12,42
"61",2016-03-14,101
"62",2016-03-15,88
"63",2016-03-16,71
"64",2016-03-17,60
"65",2016-03-18,62
"66",2016-03-21,53
"67",2016-03-22,133
"68",2016-03-23,40
"69",2016-03-24,100
"70",2016-03-25,50
"71",2016-03-26,16
"72",2016-03-28,13
"73",2016-03-29,148
"74",2016-03-30,109
"75",2016-03-31,29
"76",2016-04-01,160
"77",2016-04-02,15
"78",2016-04-04,64
"79",2016-04-05,81
"80",2016-04-06,32
"81",2016-04-07,146
"82",2016-04-08,75
"83",2016-04-09,25
"84",2016-04-11,16
"85",2016-04-12,103
"86",2016-04-13,152
"87",2016-04-14,98
"88",2016-04-15,112
"89",2016-04-16,42
"90",2016-04-18,77
"91",2016-04-19,127
"92",2016-04-20,74
"93",2016-04-21,17
"94",2016-04-22,37
"95",2016-04-23,33
"96",2016-04-25,49
"97",2016-04-26,210
"98",2016-04-27,67
"99",2016-04-28,52
"100",2016-05-04,194
"101",2016-05-05,61
"102",2016-05-06,119
"103",2016-05-07,2
"104",2016-05-09,112
"105",2016-05-10,49
"106",2016-05-11,121
"107",2016-05-12,73
"108",2016-05-13,121
"109",2016-05-14,11
"110",2016-05-16,107
"111",2016-05-17,138
"112",2016-05-18,154
"113",2016-05-19,79
"114",2016-05-20,145
"115",2016-05-23,118
"116",2016-05-24,38
"117",2016-05-25,131
"118",2016-05-26,31
"119",2016-05-27,67
"120",2016-05-28,57
"121",2016-05-30,74
"122",2016-05-31,90
"123",2016-06-01,98
"124",2016-06-02,36
"125",2016-06-03,49
"126",2016-06-04,39
"127",2016-06-06,112
"128",2016-06-07,122
"129",2016-06-08,21
"130",2016-06-09,142
"131",2016-06-10,44
"132",2016-06-11,16
"133",2016-06-13,128
"134",2016-06-14,162
"135",2016-06-15,39
"136",2016-06-16,42
"137",2016-06-17,112
"138",2016-06-20,49
"139",2016-06-21,117
"140",2016-06-22,56
"141",2016-06-23,32
"142",2016-06-24,30
"143",2016-06-27,17
"144",2016-06-28,10
"145",2016-06-29,34
"146",2016-06-30,28
"147",2016-07-01,120
"148",2016-07-02,31
"149",2016-07-05,37
"150",2016-07-06,18
"151",2016-07-07,16
"152",2016-07-08,3
"153",2016-07-09,10
"154",2016-07-11,40
"155",2016-07-12,84
"156",2016-07-13,133
"157",2016-07-14,88
"158",2016-07-15,41
"159",2016-07-18,71
"160",2016-07-19,41
"161",2016-07-20,79
"162",2016-07-21,39
"163",2016-07-22,41
"164",2016-07-23,38
"165",2016-07-25,68
"166",2016-07-26,217
"167",2016-07-27,34
"168",2016-07-28,65
"169",2016-07-29,54
"170",2016-07-30,14
"171",2016-08-01,82
"172",2016-08-02,59
"173",2016-08-03,28
"174",2016-08-04,374
"175",2016-08-05,44
"176",2016-08-06,2
"177",2016-08-08,89
"178",2016-08-09,103
"179",2016-08-10,44
"180",2016-08-11,51
"181",2016-08-12,26
"182",2016-08-13,4
"183",2016-08-15,49
"184",2016-08-16,102
"185",2016-08-17,27
"186",2016-08-18,105
"187",2016-08-19,124
"188",2016-08-20,20
"189",2016-08-22,90
"190",2016-08-23,89
"191",2016-08-24,12
"192",2016-08-25,56
"193",2016-08-26,48
"194",2016-08-27,7
"195",2016-08-29,37
"196",2016-08-30,77
"197",2016-08-31,25
"198",2016-09-01,51
"199",2016-09-02,64
"200",2016-09-03,10
"201",2016-09-05,23
"202",2016-09-06,62
"203",2016-09-07,88
"204",2016-09-08,129
"205",2016-09-09,261
"206",2016-09-12,59
"207",2016-09-13,80
"208",2016-09-14,148
"209",2016-09-15,178
"210",2016-09-16,25
"211",2016-09-19,64
"212",2016-09-20,78
"213",2016-09-21,73
"214",2016-09-22,42
"215",2016-09-23,26
"216",2016-09-26,167
"217",2016-09-27,32
"218",2016-09-28,55
"219",2016-09-29,49
