"","datum","x"
"1",2016-01-02,9
"2",2016-01-04,48
"3",2016-01-05,15
"4",2016-01-06,32
"5",2016-01-08,117
"6",2016-01-11,99
"7",2016-01-12,69
"8",2016-01-13,52
"9",2016-01-14,28
"10",2016-01-15,53
"11",2016-01-18,61
"12",2016-01-19,50
"13",2016-01-20,8
"14",2016-01-21,81
"15",2016-01-25,36
"16",2016-01-26,12
"17",2016-01-27,42
"18",2016-01-28,24
"19",2016-01-29,45
"20",2016-02-01,39
"21",2016-02-02,92
"22",2016-02-03,58
"23",2016-02-04,93
"24",2016-02-05,67
"25",2016-02-08,59
"26",2016-02-09,160
"27",2016-02-10,103
"28",2016-02-11,36
"29",2016-02-12,132
"30",2016-02-13,11
"31",2016-02-16,4
"32",2016-02-17,39
"33",2016-02-18,8
"34",2016-02-19,44
"35",2016-02-22,38
"36",2016-02-23,50
"37",2016-02-24,116
"38",2016-02-25,26
"39",2016-02-26,2
"40",2016-02-27,8
"41",2016-02-29,80
"42",2016-03-01,46
"43",2016-03-02,114
"44",2016-03-03,56
"45",2016-03-04,8
"46",2016-03-07,49
"47",2016-03-08,64
"48",2016-03-09,18
"49",2016-03-10,38
"50",2016-03-11,71
"51",2016-03-12,9
"52",2016-03-14,51
"53",2016-03-15,10
"54",2016-03-16,2
"55",2016-03-17,7
"56",2016-03-19,7
"57",2016-03-21,23
"58",2016-03-22,12
"59",2016-03-23,33
"60",2016-03-24,4
"61",2016-03-26,3
"62",2016-03-28,51
"63",2016-03-29,70
"64",2016-03-31,16
"65",2016-04-01,18
"66",2016-04-04,36
"67",2016-04-05,43
"68",2016-04-06,42
"69",2016-04-08,13
"70",2016-04-09,6
"71",2016-04-11,86
"72",2016-04-12,65
"73",2016-04-14,12
"74",2016-04-15,35
"75",2016-04-16,6
"76",2016-04-18,52
"77",2016-04-19,27
"78",2016-04-20,8
"79",2016-04-21,39
"80",2016-04-22,3
"81",2016-04-25,3
"82",2016-04-26,55
"83",2016-04-27,73
"84",2016-04-28,9
"85",2016-05-04,167
"86",2016-05-05,22
"87",2016-05-06,6
"88",2016-05-09,53
"89",2016-05-10,19
"90",2016-05-11,20
"91",2016-05-12,16
"92",2016-05-13,16
"93",2016-05-16,81
"94",2016-05-17,63
"95",2016-05-18,19
"96",2016-05-19,26
"97",2016-05-20,42
"98",2016-05-23,66
"99",2016-05-24,28
"100",2016-05-25,24
"101",2016-05-26,3
"102",2016-05-27,24
"103",2016-05-30,31
"104",2016-05-31,21
"105",2016-06-01,65
"106",2016-06-02,22
"107",2016-06-03,2
"108",2016-06-04,17
"109",2016-06-06,10
"110",2016-06-07,19
"111",2016-06-10,68
"112",2016-06-11,13
"113",2016-06-13,98
"114",2016-06-14,93
"115",2016-06-15,55
"116",2016-06-16,56
"117",2016-06-17,17
"118",2016-06-18,4
"119",2016-06-20,94
"120",2016-06-22,14
"121",2016-06-23,9
"122",2016-06-24,11
"123",2016-06-27,36
"124",2016-06-28,22
"125",2016-06-29,34
"126",2016-06-30,9
"127",2016-07-01,35
"128",2016-07-02,8
"129",2016-07-04,17
"130",2016-07-05,13
"131",2016-07-06,53
"132",2016-07-07,7
"133",2016-07-08,7
"134",2016-07-11,35
"135",2016-07-12,21
"136",2016-07-13,4
"137",2016-07-14,25
"138",2016-07-15,18
"139",2016-07-18,7
"140",2016-07-19,51
"141",2016-07-20,8
"142",2016-07-21,111
"143",2016-07-25,5
"144",2016-07-26,6
"145",2016-07-27,38
"146",2016-07-29,10
"147",2016-07-30,21
"148",2016-08-01,45
"149",2016-08-02,65
"150",2016-08-03,10
"151",2016-08-04,12
"152",2016-08-05,27
"153",2016-08-08,55
"154",2016-08-09,24
"155",2016-08-10,41
"156",2016-08-11,28
"157",2016-08-16,132
"158",2016-08-17,48
"159",2016-08-18,22
"160",2016-08-22,9
"161",2016-08-24,20
"162",2016-08-25,31
"163",2016-08-29,3
"164",2016-08-30,18
"165",2016-09-02,46
"166",2016-09-05,22
"167",2016-09-07,42
"168",2016-09-10,23
"169",2016-09-12,28
"170",2016-09-13,71
"171",2016-09-14,25
"172",2016-09-17,12
"173",2016-09-19,36
"174",2016-09-20,43
"175",2016-09-21,6
"176",2016-09-22,29
"177",2016-09-23,19
"178",2016-09-26,32
"179",2016-09-27,19
"180",2016-09-28,45
"181",2016-09-30,33
"182",2016-10-01,10
"183",2016-10-03,4
"184",2016-10-04,24
"185",2016-10-05,2
"186",2016-10-06,32
"187",2016-10-07,13
"188",2016-10-10,40
"189",2016-10-11,42
"190",2016-10-12,18
"191",2016-10-13,14
"192",2016-10-14,41
"193",2016-10-17,21
"194",2016-10-18,75
"195",2016-10-19,20
"196",2016-10-20,29
"197",2016-10-21,14
"198",2016-10-24,3
"199",2016-10-25,64
"200",2016-10-27,13
"201",2016-10-28,16
"202",2016-10-29,6
"203",2016-10-31,4
"204",2016-11-01,4
"205",2016-11-03,6
"206",2016-11-04,51
"207",2016-11-07,45
"208",2016-11-08,12
"209",2016-11-09,15
"210",2016-11-10,29
"211",2016-11-14,90
"212",2016-11-15,41
"213",2016-11-16,15
"214",2016-11-18,6
"215",2016-11-21,141
"216",2016-11-22,12
"217",2016-11-23,11
"218",2016-11-24,14
"219",2016-11-25,11
"220",2016-11-28,18
"221",2016-11-29,20
"222",2016-11-30,6
"223",2016-12-01,146
"224",2016-12-02,45
"225",2016-12-03,20
"226",2016-12-05,25
"227",2016-12-06,29
"228",2016-12-07,61
"229",2016-12-08,19
"230",2016-12-09,23
"231",2016-12-12,31
"232",2016-12-13,7
"233",2016-12-14,69
"234",2016-12-15,19
"235",2016-12-16,49
"236",2016-12-19,36
"237",2016-12-20,94
"238",2016-12-21,91
"239",2016-12-22,8
"240",2016-12-23,22
"241",2016-12-24,5
"242",2016-12-26,25
"243",2016-12-27,42
